word,count,frequency
attorney,9,9.05674959295e-06
crowd,5,5.03152755164e-06
scathe,4,4.02522204131e-06
crown,312,0.000313967319222
begin,124,0.000124781883281
crows,19,1.91198046962e-05
anne,178,0.000179122380838
perchance,51,5.13215810267e-05
bottom,106,0.000106668384095
inhuman,8,8.05044408262e-06
plucked,2,2.01261102066e-06
_shows,2,2.01261102066e-06
plucker,1,1.00630551033e-06
pharaoh,2,2.01261102066e-06
disdains,6,6.03783306197e-06
obsque,1,1.00630551033e-06
bencher,1,1.00630551033e-06
benches,2,2.01261102066e-06
casket_,1,1.00630551033e-06
marshall,2,2.01261102066e-06
bullcalf,14,1.40882771446e-05
administer,1,1.00630551033e-06
swelter,1,1.00630551033e-06
philostrate,14,1.40882771446e-05
despised,14,1.40882771446e-05
fabric,4,4.02522204131e-06
groome,1,1.00630551033e-06
suffice,18,1.81134991859e-05
tame,42,4.22648314338e-05
barketh,1,1.00630551033e-06
despiser,1,1.00630551033e-06
greatness,79,7.94981353159e-05
rapes,3,3.01891653098e-06
contusions,1,1.00630551033e-06
alexandrian,2,2.01261102066e-06
ubique,1,1.00630551033e-06
perfumer,1,1.00630551033e-06
perfumes,9,9.05674959295e-06
perfumed,3,3.01891653098e-06
safeguard,7,7.04413857229e-06
humbled,10,1.00630551033e-05
humbler,3,3.01891653098e-06
humbles,1,1.00630551033e-06
duer,1,1.00630551033e-06
dues,7,7.04413857229e-06
passenger,3,3.01891653098e-06
disgrace,57,5.73594140887e-05
marullus,9,9.05674959295e-06
extenuated,1,1.00630551033e-06
extenuates,1,1.00630551033e-06
leviathans,1,1.00630551033e-06
_dieu,2,2.01261102066e-06
_dies,14,1.40882771446e-05
crowns,62,6.23909416403e-05
tamely,3,3.01891653098e-06
roll,11,1.10693606136e-05
intend,55,5.5346803068e-05
palms,2,2.01261102066e-06
palmy,1,1.00630551033e-06
transported,12,1.20756661239e-05
comely,7,7.04413857229e-06
intent,55,5.5346803068e-05
smelling,8,8.05044408262e-06
variable,7,7.04413857229e-06
unactive,1,1.00630551033e-06
gamboys,1,1.00630551033e-06
gown,55,5.5346803068e-05
chain,69,6.94350802126e-05
whoever,15,1.50945826549e-05
machination,1,1.00630551033e-06
coude,1,1.00630551033e-06
childe,3,3.01891653098e-06
chair,40,4.02522204131e-05
gowt,1,1.00630551033e-06
irrecoverable,1,1.00630551033e-06
ballet,1,1.00630551033e-06
grapples,1,1.00630551033e-06
circumstances,11,1.10693606136e-05
downloading,1,1.00630551033e-06
fyle,1,1.00630551033e-06
olympus,7,7.04413857229e-06
choice,78,7.84918298056e-05
metamorphoses,1,1.00630551033e-06
embark,8,8.05044408262e-06
gloomy,3,3.01891653098e-06
stays,39,3.92459149028e-05
exact,8,8.05044408262e-06
minute,49,4.93089700061e-05
hipparchus,1,1.00630551033e-06
cooks,3,3.01891653098e-06
continuate,2,2.01261102066e-06
shylock,111,0.000111699911646
unmix,1,1.00630551033e-06
meadow,1,1.00630551033e-06
hindered,1,1.00630551033e-06
lengthened,1,1.00630551033e-06
chopping,1,1.00630551033e-06
shirts,7,7.04413857229e-06
adorns,1,1.00630551033e-06
celebrated,2,2.01261102066e-06
wayward,14,1.40882771446e-05
celebrates,1,1.00630551033e-06
climbs,2,2.01261102066e-06
blunted,2,2.01261102066e-06
plucking,7,7.04413857229e-06
addrest,2,2.01261102066e-06
address,22,2.21387212272e-05
convertite,2,2.01261102066e-06
blunter,1,1.00630551033e-06
enroll,3,3.01891653098e-06
revenues,7,7.04413857229e-06
fledge,1,1.00630551033e-06
dusty,2,2.01261102066e-06
cette,1,1.00630551033e-06
example,34,3.42143873511e-05
accomplished,4,4.02522204131e-06
raise,50,5.03152755164e-05
abash,1,1.00630551033e-06
betraying,2,2.01261102066e-06
accoutrement,2,2.01261102066e-06
abase,2,2.01261102066e-06
perishen,1,1.00630551033e-06
opposer,2,2.01261102066e-06
working,29,2.91828597995e-05
untaught,5,5.03152755164e-06
wane,2,2.01261102066e-06
sisterly,1,1.00630551033e-06
vigour,13,1.30819716343e-05
opposed,12,1.20756661239e-05
pavilions,1,1.00630551033e-06
_unlocks,1,1.00630551033e-06
avaunt,17,1.71071936756e-05
riders,2,2.01261102066e-06
moulten,1,1.00630551033e-06
originally,1,1.00630551033e-06
harmonious,2,2.01261102066e-06
_servant,1,1.00630551033e-06
following,57,5.73594140887e-05
admired,8,8.05044408262e-06
_knocking,12,1.20756661239e-05
mirrors,2,2.01261102066e-06
locks,23,2.31450267375e-05
rivage,1,1.00630551033e-06
admirer,1,1.00630551033e-06
fosset,1,1.00630551033e-06
livered,1,1.00630551033e-06
charneco,1,1.00630551033e-06
dooms,1,1.00630551033e-06
vainly,9,9.05674959295e-06
thanking,1,1.00630551033e-06
nicanor,3,3.01891653098e-06
meddler,2,2.01261102066e-06
heards,1,1.00630551033e-06
behowls,1,1.00630551033e-06
questrists,1,1.00630551033e-06
brainless,1,1.00630551033e-06
temperate,9,9.05674959295e-06
mangy,1,1.00630551033e-06
speakest,4,4.02522204131e-06
pullet,1,1.00630551033e-06
thunders,10,1.00630551033e-05
subsisting,1,1.00630551033e-06
skirmish,7,7.04413857229e-06
wolves,19,1.91198046962e-05
quarreller,1,1.00630551033e-06
years,199,0.000200254796555
professors,3,3.01891653098e-06
yearn,3,3.01891653098e-06
ungentleness,1,1.00630551033e-06
quarrelled,1,1.00630551033e-06
yeare,2,2.01261102066e-06
jig,8,8.05044408262e-06
unprizable,2,2.01261102066e-06
infirmities,7,7.04413857229e-06
troubles,16,1.61008881652e-05
troubler,2,2.01261102066e-06
depose,10,1.00630551033e-05
antipathy,1,1.00630551033e-06
troubled,38,3.82396093925e-05
apron,4,4.02522204131e-06
_your,1,1.00630551033e-06
murrion,1,1.00630551033e-06
bashful,8,8.05044408262e-06
courageously,3,3.01891653098e-06
sorted,5,5.03152755164e-06
dide,2,2.01261102066e-06
plung,1,1.00630551033e-06
canaries,2,2.01261102066e-06
dido,14,1.40882771446e-05
leather,13,1.30819716343e-05
fisherman,34,3.42143873511e-05
reprehending,1,1.00630551033e-06
seldom,34,3.42143873511e-05
uncoined,1,1.00630551033e-06
bursting,1,1.00630551033e-06
presages,5,5.03152755164e-06
receipt,15,1.50945826549e-05
frames,3,3.01891653098e-06
entering,3,3.01891653098e-06
salads,1,1.00630551033e-06
disasters,6,6.03783306197e-06
learnings,1,1.00630551033e-06
796,1,1.00630551033e-06
792,1,1.00630551033e-06
790,1,1.00630551033e-06
presageth,2,2.01261102066e-06
seriously,5,5.03152755164e-06
macedon,6,6.03783306197e-06
curbs,4,4.02522204131e-06
revengingly,1,1.00630551033e-06
inwardly,3,3.01891653098e-06
workmanship,3,3.01891653098e-06
modest,51,5.13215810267e-05
initiate,1,1.00630551033e-06
hames,1,1.00630551033e-06
aboard,35,3.52206928615e-05
stableness,1,1.00630551033e-06
subduements,1,1.00630551033e-06
neglect,25,2.51576377582e-05
saving,15,1.50945826549e-05
spoken,62,6.23909416403e-05
reprisal,1,1.00630551033e-06
one,1993,0.00200556688208
erparted,1,1.00630551033e-06
spokes,3,3.01891653098e-06
affords,16,1.61008881652e-05
penitence,6,6.03783306197e-06
stifled,3,3.01891653098e-06
lingering,1,1.00630551033e-06
surges,5,5.03152755164e-06
snatch,18,1.81134991859e-05
herds,3,3.01891653098e-06
unburied,3,3.01891653098e-06
scantling,1,1.00630551033e-06
illness,1,1.00630551033e-06
sumptuous,4,4.02522204131e-06
turned,20,2.01261102066e-05
locations,2,2.01261102066e-06
jewels,33,3.32080818408e-05
balsam,1,1.00630551033e-06
turnes,4,4.02522204131e-06
erudition,1,1.00630551033e-06
invite,21,2.11324157169e-05
disanimates,1,1.00630551033e-06
fashionable,2,2.01261102066e-06
warriors,16,1.61008881652e-05
unsquar,1,1.00630551033e-06
goodman,14,1.40882771446e-05
portents,4,4.02522204131e-06
unfix,3,3.01891653098e-06
opposite,27,2.71702487788e-05
discerning,1,1.00630551033e-06
buffet,4,4.02522204131e-06
staineth,2,2.01261102066e-06
printed,5,5.03152755164e-06
sainted,5,5.03152755164e-06
knowingly,2,2.01261102066e-06
_thou,3,3.01891653098e-06
lydia,2,2.01261102066e-06
jewry,7,7.04413857229e-06
buriest,1,1.00630551033e-06
delphos,3,3.01891653098e-06
_solemn,1,1.00630551033e-06
counterpoints,1,1.00630551033e-06
imagined,2,2.01261102066e-06
_song,1,1.00630551033e-06
short,126,0.000126794494301
presse,1,1.00630551033e-06
intelligencing,1,1.00630551033e-06
hindmost,3,3.01891653098e-06
guarded,33,3.32080818408e-05
tilting,4,4.02522204131e-06
windowes,1,1.00630551033e-06
dartford,1,1.00630551033e-06
monde,2,2.01261102066e-06
hypolita,3,3.01891653098e-06
pickers,1,1.00630551033e-06
